queries_sent,budget_frac,cum_errors_covered,frac_errors_covered
1,0.02,1,0.041666666666666664
2,0.04,2,0.08333333333333333
3,0.06,3,0.125
4,0.08,4,0.16666666666666666
5,0.1,4,0.16666666666666666
6,0.12,5,0.20833333333333334
7,0.14,6,0.25
8,0.16,7,0.2916666666666667
9,0.18,8,0.3333333333333333
10,0.2,9,0.375
11,0.22,9,0.375
12,0.24,9,0.375
13,0.26,9,0.375
14,0.28,9,0.375
15,0.3,9,0.375
16,0.32,9,0.375
17,0.34,10,0.4166666666666667
18,0.36,11,0.4583333333333333
19,0.38,11,0.4583333333333333
20,0.4,12,0.5
21,0.42,13,0.5416666666666666
22,0.44,14,0.5833333333333334
23,0.46,14,0.5833333333333334
24,0.48,15,0.625
25,0.5,15,0.625
26,0.52,15,0.625
27,0.54,16,0.6666666666666666
28,0.56,16,0.6666666666666666
29,0.58,17,0.7083333333333334
30,0.6,17,0.7083333333333334
31,0.62,17,0.7083333333333334
32,0.64,18,0.75
33,0.66,19,0.7916666666666666
34,0.68,20,0.8333333333333334
35,0.7,20,0.8333333333333334
36,0.72,20,0.8333333333333334
37,0.74,20,0.8333333333333334
38,0.76,20,0.8333333333333334
39,0.78,20,0.8333333333333334
40,0.8,21,0.875
41,0.82,22,0.9166666666666666
42,0.84,22,0.9166666666666666
43,0.86,22,0.9166666666666666
44,0.88,22,0.9166666666666666
45,0.9,23,0.9583333333333334
46,0.92,23,0.9583333333333334
47,0.94,23,0.9583333333333334
48,0.96,23,0.9583333333333334
49,0.98,23,0.9583333333333334
50,1.0,24,1.0
